customer_id	first_eligible_order_date	last_eligible_order_date	recency_days	eligible_order_count	monetary_value	active_months_last_12	orders_last_180_days	average_interorder_gap_days	cadence_ratio	cadence_ratio_display	value_quintile	recency_points	frequency_points	cadence_points	recent_activity_points	behavioral_risk_score	risk_band	inactive_90_plus_flag	inactive_180_plus_flag	overdue_cadence_flag	churn_candidate_flag	churn_candidate_type	intervention_priority	risk_reason	eligibility_rule_applied	score_classification
6434	2025-03-09	2025-05-27	218	2	13900.87	2	0	79.00	2.7595	2.76	5	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
883	2025-01-02	2025-03-17	289	2	10514.54	2	0	74.00	3.9054	3.91	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4732	2025-05-07	2025-06-21	193	2	10390.60	2	0	45.00	4.2889	4.29	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1572	2025-03-08	2025-04-27	248	2	9928.45	2	0	50.00	4.9600	4.96	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1293	2024-11-17	2025-01-01	364	2	9290.34	1	0	45.00	8.0889	8.09	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6144	2024-08-13	2024-09-29	458	2	8658.23	0	0	47.00	9.7447	9.74	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5583	2025-04-30	2025-06-13	201	2	8409.49	2	0	44.00	4.5682	4.57	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5275	2025-03-14	2025-06-08	206	2	8400.91	2	0	86.00	2.3953	2.40	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2921	2024-03-14	2024-09-28	459	2	8376.74	0	0	198.00	2.3182	2.32	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7542	2025-05-02	2025-06-16	198	2	8047.49	2	0	45.00	4.4000	4.40	4	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	High Value Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3253	2024-02-11	2024-08-25	493	2	7867.44	0	0	196.00	2.5153	2.52	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
