section
PRE_SIGNUP_ORDER_EXCEPTIONS_BY_STATUS
status_code	exception_order_count	affected_customer_count	earliest_order_date	latest_order_date
Completed	483	375	2025-05-31	2025-11-20
Cancelled	32	31	2025-05-31	2025-10-10
Returned	20	20	2025-05-31	2025-09-29
Pending	22	22	2025-05-31	2025-11-06
section
PRE_SIGNUP_ORDER_EXCEPTION_SUMMARY
exception_order_count	affected_customer_count	earliest_order_date	latest_order_date	earliest_affected_signup_date	latest_affected_signup_date	most_negative_day_gap	least_negative_day_gap
557	404	2025-05-31	2025-11-20	2025-06-02	2025-11-30	-183	-1
section
PRE_SIGNUP_ORDER_EXCEPTION_SAMPLE
order_id	order_number	customer_id	order_date	signup_date	days_before_signup	status_code
18342	ORD-018342	4204	2025-05-31	2025-11-30	-183	Completed
18403	ORD-018403	5200	2025-05-31	2025-11-30	-183	Completed
18487	ORD-018487	6455	2025-05-31	2025-11-30	-183	Cancelled
18493	ORD-018493	6543	2025-05-31	2025-11-29	-182	Completed
18542	ORD-018542	7433	2025-05-31	2025-11-29	-182	Completed
18110	ORD-018110	171	2025-05-31	2025-11-27	-180	Completed
18123	ORD-018123	437	2025-05-31	2025-11-27	-180	Completed
18364	ORD-018364	4671	2025-05-31	2025-11-27	-180	Completed
18496	ORD-018496	6559	2025-05-31	2025-11-27	-180	Completed
18397	ORD-018397	5105	2025-05-31	2025-11-26	-179	Completed
18464	ORD-018464	6131	2025-05-31	2025-11-26	-179	Completed
18506	ORD-018506	6763	2025-05-31	2025-11-26	-179	Completed
18128	ORD-018128	549	2025-05-31	2025-11-25	-178	Completed
18526	ORD-018526	7159	2025-05-31	2025-11-25	-178	Completed
18131	ORD-018131	598	2025-05-31	2025-11-24	-177	Completed
18324	ORD-018324	3864	2025-05-31	2025-11-24	-177	Completed
18384	ORD-018384	4896	2025-05-31	2025-11-23	-176	Returned
18167	ORD-018167	1259	2025-05-31	2025-11-22	-175	Completed
18435	ORD-018435	5730	2025-05-31	2025-11-22	-175	Completed
18522	ORD-018522	7116	2025-05-31	2025-11-22	-175	Completed
