customer_id,customer_code,signup_date,gender,age_band,city,state,acquisition_channel,customer_status
1,CUST-00001,01-06-2023,Male,45-54,Seattle,WA,Referral,Active
2,CUST-00002,15-07-2023,Male,55-64,Charlotte,NC,Referral,Active
3,CUST-00003,15-05-2024,Male,55-64,Dallas,TX,Organic Search,Active
4,CUST-00004,20-09-2025,Female,35-44,Fort Worth,TX,Referral,Active
5,CUST-00005,08-10-2023,Female,55-64,Atlanta,GA,Organic Search,Active
6,CUST-00006,14-11-2023,Male,25-34,New York,NY,Paid Search,Active
7,CUST-00007,14-11-2024,Male,55-64,Columbus,OH,Paid Search,Active
8,CUST-00008,29-10-2025,Male,25-34,San Diego,CA,Social Media,Active
9,CUST-00009,13-08-2023,Female,45-54,Philadelphia,PA,Email,Active
10,CUST-00010,28-02-2024,Male,55-64,Fort Worth,TX,Social Media,Active
11,CUST-00011,23-04-2025,Female,55-64,San Jose,CA,Direct,Active
12,CUST-00012,12-06-2025,Male,18-24,Philadelphia,PA,Email,Active
13,CUST-00013,26-06-2024,Female,25-34,Denver,CO,Email,Active
14,CUST-00014,29-06-2024,Male,18-24,Austin,TX,Direct,Active
15,CUST-00015,15-01-2024,Male,25-34,Los Angeles,CA,Direct,Inactive
16,CUST-00016,22-05-2025,Female,25-34,Houston,TX,Referral,Active
17,CUST-00017,14-10-2024,Female,35-44,Philadelphia,PA,Organic Search,Active
18,CUST-00018,13-03-2024,Female,45-54,New York,NY,Paid Search,Active
19,CUST-00019,18-01-2024,Non-binary,25-34,Phoenix,AZ,Organic Search,Active
20,CUST-00020,29-09-2024,Female,35-44,Portland,OR,Email,Active
21,CUST-00021,21-01-2024,Female,45-54,Phoenix,AZ,Organic Search,Active
22,CUST-00022,26-07-2024,Male,35-44,Houston,TX,Email,Active
23,CUST-00023,29-03-2024,Male,25-34,Chicago,IL,Paid Search,Active
24,CUST-00024,07-11-2023,Female,25-34,Los Angeles,CA,Referral,Inactive
25,CUST-00025,01-09-2024,Male,35-44,Philadelphia,PA,Social Media,Active
26,CUST-00026,06-01-2024,Female,55-64,Miami,FL,Direct,Active
27,CUST-00027,14-11-2024,Prefer not to say,18-24,San Jose,CA,Direct,Active
28,CUST-00028,20-09-2024,Female,35-44,Los Angeles,CA,Paid Search,Active
29,CUST-00029,03-03-2025,Female,25-34,Philadelphia,PA,Paid Search,Active
30,CUST-00030,29-09-2023,Male,45-54,Portland,OR,Organic Search,Active
31,CUST-00031,12-03-2024,Male,35-44,Phoenix,AZ,Social Media,Active
32,CUST-00032,16-02-2025,Female,55-64,Los Angeles,CA,Social Media,Active
33,CUST-00033,07-08-2023,Male,25-34,Philadelphia,PA,Referral,Active
34,CUST-00034,16-02-2024,Male,25-34,Las Vegas,NV,Organic Search,Active
35,CUST-00035,14-10-2025,Female,55-64,Atlanta,GA,Paid Search,Active
36,CUST-00036,19-11-2023,Male,35-44,Austin,TX,Organic Search,Active
