customer_id	customer_code	signup_date	gender	age_band	city	state	acquisition_channel	customer_status	has_eligible_purchase	eligible_order_count	monetary_value	first_eligible_order_date	last_eligible_order_date	recency_days	reference_date	eligibility_rule_applied
1	CUST-00001	2023-06-01	Male	45-54	Seattle	WA	Referral	Active	1	14	20695.03	2024-01-01	2025-11-22	39	2025-12-31	is_eligible = 1 AND order_date >= signup_date
2	CUST-00002	2023-07-15	Male	55-64	Charlotte	NC	Referral	Active	1	13	18816.91	2024-05-17	2025-12-31	0	2025-12-31	is_eligible = 1 AND order_date >= signup_date
3	CUST-00003	2024-05-15	Male	55-64	Dallas	TX	Organic Search	Active	1	14	27556.07	2024-07-28	2025-12-26	5	2025-12-31	is_eligible = 1 AND order_date >= signup_date
4	CUST-00004	2025-09-20	Female	35-44	Fort Worth	TX	Referral	Active	1	8	12919.34	2025-10-21	2025-12-22	9	2025-12-31	is_eligible = 1 AND order_date >= signup_date
5	CUST-00005	2023-10-08	Female	55-64	Atlanta	GA	Organic Search	Active	1	7	10760.88	2024-02-18	2025-08-18	135	2025-12-31	is_eligible = 1 AND order_date >= signup_date
6	CUST-00006	2023-11-14	Male	25-34	New York	NY	Paid Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
7	CUST-00007	2024-11-14	Male	55-64	Columbus	OH	Paid Search	Active	1	2	1368.78	2025-04-03	2025-08-16	137	2025-12-31	is_eligible = 1 AND order_date >= signup_date
8	CUST-00008	2025-10-29	Male	25-34	San Diego	CA	Social Media	Active	1	1	3360.53	2025-11-02	2025-11-02	59	2025-12-31	is_eligible = 1 AND order_date >= signup_date
9	CUST-00009	2023-08-13	Female	45-54	Philadelphia	PA	Email	Active	1	8	11406.71	2024-03-05	2025-12-12	19	2025-12-31	is_eligible = 1 AND order_date >= signup_date
10	CUST-00010	2024-02-28	Male	55-64	Fort Worth	TX	Social Media	Active	1	1	3134.18	2024-04-16	2024-04-16	624	2025-12-31	is_eligible = 1 AND order_date >= signup_date
11	CUST-00011	2025-04-23	Female	55-64	San Jose	CA	Direct	Active	1	1	2361.30	2025-05-26	2025-05-26	219	2025-12-31	is_eligible = 1 AND order_date >= signup_date
12	CUST-00012	2025-06-12	Male	18-24	Philadelphia	PA	Email	Active	1	7	16274.60	2025-06-14	2025-12-17	14	2025-12-31	is_eligible = 1 AND order_date >= signup_date
13	CUST-00013	2024-06-26	Female	25-34	Denver	CO	Email	Active	1	6	5045.77	2024-07-26	2025-09-11	111	2025-12-31	is_eligible = 1 AND order_date >= signup_date
14	CUST-00014	2024-06-29	Male	18-24	Austin	TX	Direct	Active	1	2	5296.81	2025-01-17	2025-03-18	288	2025-12-31	is_eligible = 1 AND order_date >= signup_date
15	CUST-00015	2024-01-15	Male	25-34	Los Angeles	CA	Direct	Inactive	1	1	2075.32	2024-02-07	2024-02-07	693	2025-12-31	is_eligible = 1 AND order_date >= signup_date
16	CUST-00016	2025-05-22	Female	25-34	Houston	TX	Referral	Active	1	1	817.06	2025-08-11	2025-08-11	142	2025-12-31	is_eligible = 1 AND order_date >= signup_date
17	CUST-00017	2024-10-14	Female	35-44	Philadelphia	PA	Organic Search	Active	1	8	7324.77	2024-12-03	2025-10-24	68	2025-12-31	is_eligible = 1 AND order_date >= signup_date
18	CUST-00018	2024-03-13	Female	45-54	New York	NY	Paid Search	Active	1	7	9894.15	2024-08-01	2025-12-29	2	2025-12-31	is_eligible = 1 AND order_date >= signup_date
19	CUST-00019	2024-01-18	Non-binary	25-34	Phoenix	AZ	Organic Search	Active	1	2	2504.55	2024-02-28	2025-06-12	202	2025-12-31	is_eligible = 1 AND order_date >= signup_date
20	CUST-00020	2024-09-29	Female	35-44	Portland	OR	Email	Active	1	7	13965.79	2024-12-22	2025-09-12	110	2025-12-31	is_eligible = 1 AND order_date >= signup_date
21	CUST-00021	2024-01-21	Female	45-54	Phoenix	AZ	Organic Search	Active	1	7	10076.38	2024-02-09	2025-10-31	61	2025-12-31	is_eligible = 1 AND order_date >= signup_date
22	CUST-00022	2024-07-26	Male	35-44	Houston	TX	Email	Active	1	2	3559.08	2025-05-04	2025-08-02	151	2025-12-31	is_eligible = 1 AND order_date >= signup_date
23	CUST-00023	2024-03-29	Male	25-34	Chicago	IL	Paid Search	Active	1	8	24010.59	2024-04-06	2025-11-24	37	2025-12-31	is_eligible = 1 AND order_date >= signup_date
24	CUST-00024	2023-11-07	Female	25-34	Los Angeles	CA	Referral	Inactive	1	6	10619.24	2024-04-07	2025-12-30	1	2025-12-31	is_eligible = 1 AND order_date >= signup_date
25	CUST-00025	2024-09-01	Male	35-44	Philadelphia	PA	Social Media	Active	1	10	15887.04	2024-11-22	2025-11-26	35	2025-12-31	is_eligible = 1 AND order_date >= signup_date
26	CUST-00026	2024-01-06	Female	55-64	Miami	FL	Direct	Active	1	2	5179.62	2024-11-13	2025-08-07	146	2025-12-31	is_eligible = 1 AND order_date >= signup_date
27	CUST-00027	2024-11-14	Prefer not to say	18-24	San Jose	CA	Direct	Active	1	2	2678.91	2025-02-09	2025-04-19	256	2025-12-31	is_eligible = 1 AND order_date >= signup_date
28	CUST-00028	2024-09-20	Female	35-44	Los Angeles	CA	Paid Search	Active	1	2	2768.74	2025-05-17	2025-08-22	131	2025-12-31	is_eligible = 1 AND order_date >= signup_date
29	CUST-00029	2025-03-03	Female	25-34	Philadelphia	PA	Paid Search	Active	1	7	7030.68	2025-04-12	2025-12-23	8	2025-12-31	is_eligible = 1 AND order_date >= signup_date
30	CUST-00030	2023-09-29	Male	45-54	Portland	OR	Organic Search	Active	1	2	5088.19	2024-02-15	2025-03-29	277	2025-12-31	is_eligible = 1 AND order_date >= signup_date
31	CUST-00031	2024-03-12	Male	35-44	Phoenix	AZ	Social Media	Active	1	1	1624.47	2024-04-24	2024-04-24	616	2025-12-31	is_eligible = 1 AND order_date >= signup_date
32	CUST-00032	2025-02-16	Female	55-64	Los Angeles	CA	Social Media	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
33	CUST-00033	2023-08-07	Male	25-34	Philadelphia	PA	Referral	Active	1	1	6862.95	2024-01-17	2024-01-17	714	2025-12-31	is_eligible = 1 AND order_date >= signup_date
34	CUST-00034	2024-02-16	Male	25-34	Las Vegas	NV	Organic Search	Active	1	1	456.87	2024-02-25	2024-02-25	675	2025-12-31	is_eligible = 1 AND order_date >= signup_date
35	CUST-00035	2025-10-14	Female	55-64	Atlanta	GA	Paid Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
36	CUST-00036	2023-11-19	Male	35-44	Austin	TX	Organic Search	Active	1	7	14795.44	2024-05-21	2025-09-19	103	2025-12-31	is_eligible = 1 AND order_date >= signup_date
37	CUST-00037	2023-11-07	Male	35-44	Portland	OR	Direct	Active	1	2	2668.95	2024-04-06	2025-08-19	134	2025-12-31	is_eligible = 1 AND order_date >= signup_date
38	CUST-00038	2023-12-29	Male	18-24	Miami	FL	Organic Search	Active	1	7	8286.31	2024-03-15	2025-09-15	107	2025-12-31	is_eligible = 1 AND order_date >= signup_date
39	CUST-00039	2023-09-14	Male	45-54	Seattle	WA	Paid Search	Active	1	8	13556.96	2024-04-06	2025-07-23	161	2025-12-31	is_eligible = 1 AND order_date >= signup_date
40	CUST-00040	2025-08-14	Male	25-34	Portland	OR	Direct	Active	1	7	7495.21	2025-08-24	2025-12-28	3	2025-12-31	is_eligible = 1 AND order_date >= signup_date
41	CUST-00041	2023-07-16	Male	45-54	San Antonio	TX	Organic Search	Active	1	1	1822.03	2024-06-15	2024-06-15	564	2025-12-31	is_eligible = 1 AND order_date >= signup_date
42	CUST-00042	2024-07-12	Female	25-34	Seattle	WA	Referral	Active	1	2	4470.28	2025-02-06	2025-04-10	265	2025-12-31	is_eligible = 1 AND order_date >= signup_date
43	CUST-00043	2023-06-19	Male	25-34	Atlanta	GA	Paid Search	Inactive	1	2	2551.85	2024-04-28	2024-10-03	454	2025-12-31	is_eligible = 1 AND order_date >= signup_date
44	CUST-00044	2024-05-04	Female	35-44	Houston	TX	Paid Search	Active	1	6	5516.84	2024-09-24	2025-08-14	139	2025-12-31	is_eligible = 1 AND order_date >= signup_date
45	CUST-00045	2025-01-15	Female	35-44	Houston	TX	Direct	Active	1	13	15490.40	2025-02-02	2025-11-24	37	2025-12-31	is_eligible = 1 AND order_date >= signup_date
46	CUST-00046	2024-11-19	Male	55-64	Dallas	TX	Social Media	Active	1	8	19143.25	2025-02-22	2025-12-22	9	2025-12-31	is_eligible = 1 AND order_date >= signup_date
47	CUST-00047	2023-08-09	Female	55-64	Miami	FL	Organic Search	Active	1	1	466.94	2024-01-12	2024-01-12	719	2025-12-31	is_eligible = 1 AND order_date >= signup_date
48	CUST-00048	2025-11-12	Male	35-44	Austin	TX	Organic Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
49	CUST-00049	2024-11-28	Male	45-54	Chicago	IL	Email	Active	1	7	3924.04	2025-03-14	2025-10-10	82	2025-12-31	is_eligible = 1 AND order_date >= signup_date
50	CUST-00050	2024-07-02	Male	45-54	Las Vegas	NV	Email	Active	1	13	12182.46	2024-07-20	2025-11-08	53	2025-12-31	is_eligible = 1 AND order_date >= signup_date
51	CUST-00051	2024-01-01	Male	25-34	New York	NY	Direct	Active	1	1	883.44	2025-04-04	2025-04-04	271	2025-12-31	is_eligible = 1 AND order_date >= signup_date
52	CUST-00052	2024-04-18	Male	45-54	Dallas	TX	Organic Search	Active	1	2	2184.30	2025-01-18	2025-08-31	122	2025-12-31	is_eligible = 1 AND order_date >= signup_date
53	CUST-00053	2024-09-07	Female	55-64	Los Angeles	CA	Social Media	Active	1	14	29506.66	2024-10-22	2025-11-12	49	2025-12-31	is_eligible = 1 AND order_date >= signup_date
54	CUST-00054	2024-09-16	Male	45-54	Phoenix	AZ	Social Media	Active	1	2	2205.39	2025-04-26	2025-12-09	22	2025-12-31	is_eligible = 1 AND order_date >= signup_date
55	CUST-00055	2024-07-11	Male	25-34	Houston	TX	Social Media	Active	1	8	7985.61	2024-08-03	2025-11-12	49	2025-12-31	is_eligible = 1 AND order_date >= signup_date
56	CUST-00056	2023-09-14	Male	55-64	Portland	OR	Email	Active	1	1	794.81	2024-03-17	2024-03-17	654	2025-12-31	is_eligible = 1 AND order_date >= signup_date
57	CUST-00057	2024-03-10	Male	25-34	Los Angeles	CA	Social Media	Active	1	2	1142.42	2024-08-09	2024-12-22	374	2025-12-31	is_eligible = 1 AND order_date >= signup_date
58	CUST-00058	2025-01-11	Female	18-24	Chicago	IL	Referral	Active	1	10	8026.11	2025-03-25	2025-11-08	53	2025-12-31	is_eligible = 1 AND order_date >= signup_date
59	CUST-00059	2023-09-08	Male	65+	Denver	CO	Paid Search	Active	1	1	676.97	2024-05-03	2024-05-03	607	2025-12-31	is_eligible = 1 AND order_date >= signup_date
60	CUST-00060	2023-10-09	Male	25-34	Los Angeles	CA	Social Media	Active	1	7	10938.51	2024-07-06	2025-10-07	85	2025-12-31	is_eligible = 1 AND order_date >= signup_date
61	CUST-00061	2024-11-16	Female	55-64	Charlotte	NC	Social Media	Active	1	2	3492.57	2025-01-11	2025-09-01	121	2025-12-31	is_eligible = 1 AND order_date >= signup_date
62	CUST-00062	2023-08-21	Male	35-44	Miami	FL	Social Media	Inactive	1	2	4036.93	2025-05-22	2025-10-16	76	2025-12-31	is_eligible = 1 AND order_date >= signup_date
63	CUST-00063	2024-02-08	Male	35-44	Houston	TX	Organic Search	Active	1	2	3075.01	2024-06-04	2024-07-25	524	2025-12-31	is_eligible = 1 AND order_date >= signup_date
64	CUST-00064	2025-04-23	Male	18-24	Jacksonville	FL	Organic Search	Active	1	2	3106.04	2025-05-03	2025-12-16	15	2025-12-31	is_eligible = 1 AND order_date >= signup_date
