order_item_id,order_id,product_id,quantity,unit_price,line_discount,line_total
1,1,11,4,731.47,146.29,2779.59
2,1,160,4,355.69,71.14,1351.62
3,1,141,3,74.42,0,223.26
4,1,154,1,156.3,7.82,148.48
5,1,152,2,304.15,0,608.3
6,2,26,4,237.54,0,950.16
7,2,20,4,45.98,0,183.92
8,2,46,1,36.66,7.33,29.33
9,2,18,2,325.63,65.13,586.13
10,3,67,1,165.1,16.51,148.59
11,3,65,3,495.18,0,1485.54
12,3,150,2,64.97,6.5,123.44
13,3,141,3,74.42,0,223.26
14,4,31,4,189.7,75.88,682.92
15,4,38,1,196.28,0,196.28
16,5,3,3,653.72,0,1961.16
17,5,7,1,139.25,0,139.25
18,5,180,3,170.32,0,510.96
19,6,9,1,445.49,22.27,423.22
20,6,8,2,119,0,238
21,7,46,2,36.66,11,62.32
22,7,6,4,582.88,0,2331.52
23,7,1,2,784.44,0,1568.88
24,7,10,5,679.85,0,3399.25
25,7,26,3,237.54,71.26,641.36
26,8,65,5,495.18,123.8,2352.1
27,8,71,4,464.53,0,1858.12
28,8,33,1,146.52,7.33,139.19
29,8,34,3,163.1,24.47,464.83
30,9,34,4,163.1,32.62,619.78
31,9,10,5,679.85,0,3399.25
32,9,139,4,96.93,0,387.72
33,10,11,3,731.47,109.72,2084.69
34,10,16,2,100.05,0,200.1
35,11,5,5,631.63,0,3158.15
36,12,67,4,165.1,0,660.4
37,12,157,2,351.75,35.18,668.32
38,12,111,4,50.27,0,201.08
39,13,30,3,64.7,0,194.1
40,13,67,4,165.1,33.02,627.38
41,14,80,5,14.23,0,71.15
42,14,131,3,8.99,2.7,24.27
43,15,59,5,11.84,2.96,56.24
44,15,28,2,100.99,0,201.98
45,15,33,5,146.52,36.63,695.97
46,16,11,4,731.47,292.59,2633.29
47,16,9,1,445.49,0,445.49
48,16,141,1,74.42,7.44,66.98
49,16,76,2,71.53,14.31,128.75
50,17,153,1,270.19,54.04,216.15
51,17,10,5,679.85,339.93,3059.32
52,17,33,4,146.52,87.91,498.17
53,17,38,2,196.28,78.51,314.05
54,18,31,3,189.7,0,569.1
55,18,39,1,41.63,0,41.63
56,19,38,3,196.28,0,588.84
57,19,111,5,50.27,12.57,238.78
58,19,28,4,100.99,20.2,383.76
59,20,163,1,226.52,11.33,215.19
60,21,152,4,304.15,0,1216.6
61,21,71,5,464.53,116.13,2206.52
