order_id,order_number,customer_id,order_date,order_status,payment_method,sales_channel,shipping_city,shipping_state,discount_amount,shipping_amount
1,ORD-000001,1,01-01-2024,Completed,Credit Card,Mobile App,Seattle,WA,225.25,0
2,ORD-000002,407,01-01-2024,Completed,Bank Transfer,Mobile App,San Antonio,TX,72.46,12.99
3,ORD-000003,1227,01-01-2024,Completed,Credit Card,Web,Las Vegas,NV,23.01,7.99
4,ORD-000004,1504,01-01-2024,Completed,Debit Card,Web,Chicago,IL,75.88,0
5,ORD-000005,2041,01-01-2024,Completed,Digital Wallet,Web,Miami,FL,0,29.99
6,ORD-000006,2194,01-01-2024,Cancelled,Digital Wallet,Web,Boston,MA,22.27,4.99
7,ORD-000007,2965,01-01-2024,Completed,Credit Card,Mobile App,Columbus,OH,82.26,0
8,ORD-000008,3011,01-01-2024,Completed,Digital Wallet,Mobile App,Portland,OR,155.6,7.99
9,ORD-000009,4216,01-01-2024,Completed,Credit Card,Mobile App,New York,NY,32.62,4.99
10,ORD-000010,4963,01-01-2024,Completed,Credit Card,Mobile App,Las Vegas,NV,109.72,0
11,ORD-000011,5377,01-01-2024,Completed,Credit Card,Marketplace,Washington,DC,0,12.99
12,ORD-000012,5832,01-01-2024,Completed,Digital Wallet,Mobile App,Los Angeles,CA,35.18,29.99
13,ORD-000013,5934,01-01-2024,Completed,Credit Card,Web,Philadelphia,PA,33.02,19.99
14,ORD-000014,7602,01-01-2024,Completed,Debit Card,Web,Atlanta,GA,2.7,19.99
15,ORD-000015,7868,01-01-2024,Completed,Credit Card,Mobile App,Seattle,WA,39.59,7.99
16,ORD-000016,274,02-01-2024,Completed,Bank Transfer,Web,Austin,TX,314.34,7.99
17,ORD-000017,671,02-01-2024,Cancelled,Digital Wallet,Web,New York,NY,560.39,12.99
18,ORD-000018,819,02-01-2024,Completed,Credit Card,Web,San Jose,CA,0,7.99
19,ORD-000019,1055,02-01-2024,Completed,Credit Card,Retail Store,Philadelphia,PA,32.77,0
20,ORD-000020,1465,02-01-2024,Cancelled,Credit Card,Web,San Diego,CA,11.33,19.99
21,ORD-000021,3086,02-01-2024,Completed,Digital Wallet,Web,Houston,TX,431.95,4.99
22,ORD-000022,3804,02-01-2024,Completed,Credit Card,Retail Store,Charlotte,NC,68.49,0
23,ORD-000023,3872,02-01-2024,Completed,Credit Card,Web,Seattle,WA,53.84,0
24,ORD-000024,4319,02-01-2024,Completed,Credit Card,Marketplace,Seattle,WA,131.04,7.99
25,ORD-000025,5781,02-01-2024,Completed,Bank Transfer,Mobile App,Miami,FL,6.57,19.99
26,ORD-000026,6698,02-01-2024,Completed,Credit Card,Web,Fort Worth,TX,0,4.99
27,ORD-000027,6946,02-01-2024,Completed,Debit Card,Mobile App,New York,NY,46.45,29.99
28,ORD-000028,7841,02-01-2024,Completed,Digital Wallet,Web,Columbus,OH,12.94,12.99
29,ORD-000029,1994,03-01-2024,Completed,Digital Wallet,Retail Store,Los Angeles,CA,82.86,0
30,ORD-000030,2561,03-01-2024,Completed,Debit Card,Web,Seattle,WA,24.54,12.99
31,ORD-000031,2582,03-01-2024,Completed,Debit Card,Web,Seattle,WA,23.8,12.99
32,ORD-000032,2654,03-01-2024,Completed,Credit Card,Web,San Diego,CA,139,0
33,ORD-000033,2846,03-01-2024,Completed,Debit Card,Retail Store,San Jose,CA,5.14,0
34,ORD-000034,4233,03-01-2024,Completed,Credit Card,Web,Chicago,IL,133.45,0
35,ORD-000035,5265,03-01-2024,Completed,Digital Wallet,Marketplace,Dallas,TX,167.67,7.99
36,ORD-000036,5703,03-01-2024,Completed,Credit Card,Marketplace,Denver,CO,0,0
37,ORD-000037,5717,03-01-2024,Completed,Debit Card,Marketplace,Boston,MA,25.99,0
38,ORD-000038,6403,03-01-2024,Completed,Digital Wallet,Web,Charlotte,NC,7.33,12.99
39,ORD-000039,7303,03-01-2024,Completed,Debit Card,Web,Houston,TX,66.18,12.99
40,ORD-000040,7800,03-01-2024,Completed,Credit Card,Web,San Diego,CA,36.75,12.99
41,ORD-000041,646,04-01-2024,Completed,Debit Card,Web,Las Vegas,NV,0,19.99
42,ORD-000042,1405,04-01-2024,Returned,Debit Card,Mobile App,Phoenix,AZ,3.63,7.99
43,ORD-000043,1604,04-01-2024,Completed,Credit Card,Marketplace,Nashville,TN,56.47,7.99
44,ORD-000044,1855,04-01-2024,Completed,Credit Card,Mobile App,Miami,FL,105.53,0
45,ORD-000045,2802,04-01-2024,Completed,Credit Card,Web,San Antonio,TX,39.26,0
46,ORD-000046,2941,04-01-2024,Completed,Digital Wallet,Web,Houston,TX,181.51,29.99
47,ORD-000047,3070,04-01-2024,Pending,Digital Wallet,Web,Houston,TX,126.2,29.99
48,ORD-000048,3614,04-01-2024,Cancelled,Digital Wallet,Web,Dallas,TX,37.39,19.99
49,ORD-000049,4675,04-01-2024,Completed,Credit Card,Web,Philadelphia,PA,261.8,4.99
50,ORD-000050,5743,04-01-2024,Completed,Debit Card,Retail Store,Washington,DC,1.8,0
51,ORD-000051,7524,04-01-2024,Completed,Credit Card,Marketplace,Philadelphia,PA,33.31,0
52,ORD-000052,7607,04-01-2024,Completed,Credit Card,Mobile App,San Antonio,TX,33.98,4.99
53,ORD-000053,693,05-01-2024,Completed,Digital Wallet,Mobile App,Houston,TX,148.24,0
54,ORD-000054,954,05-01-2024,Completed,Debit Card,Marketplace,Nashville,TN,4.5,12.99
55,ORD-000055,2217,05-01-2024,Cancelled,Credit Card,Mobile App,San Jose,CA,955.73,0
56,ORD-000056,2294,05-01-2024,Completed,Digital Wallet,Web,New York,NY,31.02,4.99
57,ORD-000057,2354,05-01-2024,Completed,Debit Card,Mobile App,Phoenix,AZ,5.03,4.99
58,ORD-000058,3412,05-01-2024,Completed,Credit Card,Web,Houston,TX,0,12.99
59,ORD-000059,3530,05-01-2024,Completed,Digital Wallet,Web,Miami,FL,80.48,29.99
60,ORD-000060,3756,05-01-2024,Completed,Credit Card,Mobile App,Nashville,TN,0,7.99
61,ORD-000061,4099,05-01-2024,Completed,Debit Card,Marketplace,Dallas,TX,27.59,12.99
62,ORD-000062,4328,05-01-2024,Completed,Credit Card,Web,Washington,DC,25.99,7.99
