product_id,sku,product_name,category,unit_price,cost_price,launch_date,product_status
1,SKU-00001,Electronics 01,Electronics,784.44,561.38,01-01-2023,Active
2,SKU-00002,Electronics 02,Electronics,645.05,418.77,01-01-2023,Active
3,SKU-00003,Electronics 03,Electronics,653.72,320.9,01-01-2023,Active
4,SKU-00004,Electronics 04,Electronics,170.24,113.1,01-01-2023,Active
5,SKU-00005,Electronics 05,Electronics,631.63,342.32,01-01-2023,Active
6,SKU-00006,Electronics 06,Electronics,582.88,347.36,01-01-2023,Active
7,SKU-00007,Electronics 07,Electronics,139.25,79.9,01-01-2023,Active
8,SKU-00008,Electronics 08,Electronics,119,87.75,01-01-2023,Active
9,SKU-00009,Electronics 09,Electronics,445.49,217.65,01-01-2023,Active
10,SKU-00010,Electronics 10,Electronics,679.85,518.59,01-01-2023,Active
11,SKU-00011,Electronics 11,Electronics,731.47,485.03,01-01-2023,Active
12,SKU-00012,Electronics 12,Electronics,382.07,277.07,01-01-2023,Active
13,SKU-00013,Electronics 13,Electronics,281.2,158.24,17-02-2024,Active
14,SKU-00014,Electronics 14,Electronics,252.77,139.36,08-04-2024,Active
15,SKU-00015,Electronics 15,Electronics,849.35,539.69,30-05-2024,Active
16,SKU-00016,Home & Kitchen 01,Home & Kitchen,100.05,53.96,23-01-2023,Active
17,SKU-00017,Home & Kitchen 02,Home & Kitchen,393.31,234.5,12-07-2024,Active
18,SKU-00018,Home & Kitchen 03,Home & Kitchen,325.63,199.67,16-11-2023,Active
19,SKU-00019,Home & Kitchen 04,Home & Kitchen,89.64,47.72,18-10-2023,Discontinued
20,SKU-00020,Home & Kitchen 05,Home & Kitchen,45.98,23.43,12-09-2023,Discontinued
21,SKU-00021,Home & Kitchen 06,Home & Kitchen,383.14,236.14,14-05-2024,Active
22,SKU-00022,Home & Kitchen 07,Home & Kitchen,256.09,160.38,24-04-2024,Active
23,SKU-00023,Home & Kitchen 08,Home & Kitchen,319.83,159.57,06-06-2024,Active
24,SKU-00024,Home & Kitchen 09,Home & Kitchen,84.36,44.99,17-04-2024,Active
25,SKU-00025,Home & Kitchen 10,Home & Kitchen,395.31,279.24,03-06-2024,Active
26,SKU-00026,Home & Kitchen 11,Home & Kitchen,237.54,142.49,25-06-2023,Active
27,SKU-00027,Home & Kitchen 12,Home & Kitchen,289.88,148.49,21-07-2024,Active
28,SKU-00028,Home & Kitchen 13,Home & Kitchen,100.99,51.43,01-08-2023,Active
29,SKU-00029,Home & Kitchen 14,Home & Kitchen,55.35,35.89,23-05-2024,Active
30,SKU-00030,Home & Kitchen 15,Home & Kitchen,64.7,42.78,30-09-2023,Active
31,SKU-00031,Apparel 01,Apparel,189.7,139.58,19-11-2023,Active
32,SKU-00032,Apparel 02,Apparel,136.37,103.04,12-10-2024,Active
33,SKU-00033,Apparel 03,Apparel,146.52,112.2,30-10-2023,Active
34,SKU-00034,Apparel 04,Apparel,163.1,105.67,30-12-2023,Active
35,SKU-00035,Apparel 05,Apparel,201.51,126.55,13-03-2023,Active
36,SKU-00036,Apparel 06,Apparel,68.53,50.44,18-02-2025,Active
37,SKU-00037,Apparel 07,Apparel,182.06,88.79,12-01-2025,Discontinued
38,SKU-00038,Apparel 08,Apparel,196.28,109.84,05-07-2023,Active
39,SKU-00039,Apparel 09,Apparel,41.63,32.3,14-05-2023,Active
40,SKU-00040,Apparel 10,Apparel,127.74,69.21,05-11-2024,Active
41,SKU-00041,Apparel 11,Apparel,172.76,100.06,18-06-2024,Active
42,SKU-00042,Apparel 12,Apparel,218.88,142.01,24-04-2023,Active
43,SKU-00043,Apparel 13,Apparel,77.22,40.51,28-05-2023,Active
44,SKU-00044,Apparel 14,Apparel,208.95,126.25,16-08-2024,Active
45,SKU-00045,Apparel 15,Apparel,106.56,72.39,22-01-2025,Active
46,SKU-00046,Beauty & Personal Care 01,Beauty & Personal Care,36.66,21.33,15-04-2023,Active
47,SKU-00047,Beauty & Personal Care 02,Beauty & Personal Care,114.2,61.4,15-03-2024,Active
48,SKU-00048,Beauty & Personal Care 03,Beauty & Personal Care,122.03,92.01,04-06-2023,Active
