order_month	eligible_orders	monthly_active_customers	new_customers	returning_customers	monthly_repeat_customer_rate	eligible_revenue	average_order_value
2024-01-01	459	436	436	0	0.00	802889.32	1749.21
2024-02-01	523	491	434	57	11.61	839214.43	1604.62
2024-03-01	589	553	448	105	18.99	929902.96	1578.78
2024-04-01	644	612	462	150	24.51	1053726.61	1636.22
2024-05-01	756	691	479	212	30.68	1142823.73	1511.67
2024-06-01	764	701	433	268	38.23	1185565.98	1551.79
2024-07-01	651	564	222	342	60.64	987934.06	1517.56
2024-08-01	716	623	236	387	62.12	1193226.56	1666.52
2024-09-01	739	643	221	422	65.63	1181735.48	1599.10
2024-10-01	873	764	242	522	68.32	1351634.44	1548.26
2024-11-01	939	796	226	570	71.61	1448201.60	1542.28
2024-12-01	1080	901	260	641	71.14	1692313.27	1566.96
2025-01-01	1223	1027	267	760	74.00	1957249.73	1600.37
2025-02-01	1205	1011	258	753	74.48	1823306.55	1513.12
2025-03-01	1433	1171	280	891	76.09	2112726.27	1474.34
2025-04-01	1596	1316	345	971	73.78	2438223.35	1527.71
2025-05-01	1923	1589	434	1155	72.69	2912681.04	1514.65
2025-06-01	1732	1348	167	1181	87.61	2622832.96	1514.34
2025-07-01	2050	1548	198	1350	87.21	3134311.97	1528.93
2025-08-01	2227	1631	202	1429	87.61	3434467.86	1542.19
2025-09-01	2535	1737	231	1506	86.70	3938207.37	1553.53
2025-10-01	2960	1943	211	1732	89.14	4498209.72	1519.67
2025-11-01	3483	2066	235	1831	88.63	5380204.65	1544.70
2025-12-01	3917	2078	142	1936	93.17	5936398.50	1515.55
cohort_month	elapsed_month	cohort_size	retained_customers	retention_rate	observation_complete
2024-01-01	0	436	436	100.00	1
2024-01-01	1	436	57	13.07	1
2024-01-01	2	436	58	13.30	1
2024-01-01	3	436	53	12.16	1
2024-01-01	4	436	48	11.01	1
2024-01-01	5	436	65	14.91	1
2024-01-01	6	436	64	14.68	1
2024-01-01	7	436	61	13.99	1
2024-01-01	8	436	66	15.14	1
2024-01-01	9	436	62	14.22	1
2024-01-01	10	436	58	13.30	1
2024-01-01	11	436	68	15.60	1
2024-01-01	12	436	55	12.61	1
2024-01-01	13	436	64	14.68	1
2024-01-01	14	436	67	15.37	1
2024-01-01	15	436	72	16.51	1
2024-01-01	16	436	86	19.72	1
2024-01-01	17	436	61	13.99	1
2024-01-01	18	436	66	15.14	1
2024-01-01	19	436	69	15.83	1
2024-01-01	20	436	79	18.12	1
2024-01-01	21	436	79	18.12	1
2024-01-01	22	436	69	15.83	1
2024-01-01	23	436	71	16.28	1
2024-02-01	0	434	434	100.00	1
2024-02-01	1	434	47	10.83	1
2024-02-01	2	434	46	10.60	1
2024-02-01	3	434	69	15.90	1
2024-02-01	4	434	67	15.44	1
2024-02-01	5	434	73	16.82	1
2024-02-01	6	434	51	11.75	1
2024-02-01	7	434	55	12.67	1
2024-02-01	8	434	60	13.82	1
2024-02-01	9	434	59	13.59	1
2024-02-01	10	434	66	15.21	1
2024-02-01	11	434	64	14.75	1
2024-02-01	12	434	60	13.82	1
2024-02-01	13	434	64	14.75	1
2024-02-01	14	434	68	15.67	1
2024-02-01	15	434	74	17.05	1
2024-02-01	16	434	47	10.83	1
2024-02-01	17	434	62	14.29	1
2024-02-01	18	434	59	13.59	1
2024-02-01	19	434	58	13.36	1
2024-02-01	20	434	72	16.59	1
2024-02-01	21	434	71	16.36	1
2024-02-01	22	434	49	11.29	1
2024-03-01	0	448	448	100.00	1
2024-03-01	1	448	51	11.38	1
2024-03-01	2	448	49	10.94	1
2024-03-01	3	448	47	10.49	1
2024-03-01	4	448	52	11.61	1
2024-03-01	5	448	50	11.16	1
2024-03-01	6	448	54	12.05	1
2024-03-01	7	448	59	13.17	1
2024-03-01	8	448	48	10.71	1
2024-03-01	9	448	51	11.38	1
2024-03-01	10	448	53	11.83	1
2024-03-01	11	448	37	8.26	1
2024-03-01	12	448	55	12.28	1
2024-03-01	13	448	49	10.94	1
2024-03-01	14	448	61	13.62	1
2024-03-01	15	448	47	10.49	1
2024-03-01	16	448	67	14.96	1
2024-03-01	17	448	58	12.95	1
2024-03-01	18	448	49	10.94	1
2024-03-01	19	448	65	14.51	1
2024-03-01	20	448	62	13.84	1
2024-03-01	21	448	53	11.83	1
2024-04-01	0	462	462	100.00	1
2024-04-01	1	462	46	9.96	1
2024-04-01	2	462	43	9.31	1
2024-04-01	3	462	48	10.39	1
