customer_id	customer_code	city	state	acquisition_channel	risk_band	behavioral_risk_score	churn_candidate_flag	intervention_priority	recency_days	eligible_order_count	monetary_value	risk_reason	eligibility_rule_applied	score_classification
6434	CUST-06434	Columbus	OH	Organic Search	High Risk	91	1	High Value Intervention	218	2	13900.87	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
883	CUST-00883	Jacksonville	FL	Paid Search	High Risk	91	1	High Value Intervention	289	2	10514.54	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4732	CUST-04732	Chicago	IL	Organic Search	High Risk	91	1	High Value Intervention	193	2	10390.60	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1572	CUST-01572	Philadelphia	PA	Organic Search	High Risk	91	1	High Value Intervention	248	2	9928.45	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1293	CUST-01293	Columbus	OH	Email	High Risk	91	1	High Value Intervention	364	2	9290.34	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6144	CUST-06144	Columbus	OH	Direct	High Risk	91	1	High Value Intervention	458	2	8658.23	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5583	CUST-05583	San Antonio	TX	Email	High Risk	91	1	High Value Intervention	201	2	8409.49	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5275	CUST-05275	Houston	TX	Paid Search	High Risk	91	1	High Value Intervention	206	2	8400.91	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2921	CUST-02921	Phoenix	AZ	Organic Search	High Risk	91	1	High Value Intervention	459	2	8376.74	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7542	CUST-07542	San Diego	CA	Organic Search	High Risk	91	1	High Value Intervention	198	2	8047.49	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
